Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Arripis trutta,3,4,Day,Piscivore,water column,5,6
Arripis truttacea,3,4,Day,Piscivore,water column,5,6
Arripis xylabion,3,4,Day,Piscivore,water column,5,6
Artedius harringtoni,1,1,Day,Invertivore,rock,3,2
Aspasmogaster tasmaniensis,1,1,Day,Invertivore,rock,3,2
Aspidontus dussumieri,1,1,Day,Grazer,coral,1,2
Aspidontus taeniatus,1,1,Day,Grazer,coral,4,2
Assessor flavissimus,1,2,Day,Invertivore,coral,3,1
Assessor macneilli,1,2,Day,Invertivore,coral,3,1
Assessor randalli,1,2,Day,Invertivore,coral,3,1
Assiculus punctatus,1,1,Night,Invertivore,coral,4,2
Asterorhombus intermedius,1,1,Day,Piscivore,sand,5,3
Asterropteryx atripes,1,1,Day,Grazer,sand,3,1
Asterropteryx semipunctata,1,1,Day,Grazer,sand,1,1
Asterropteryx striata,1,1,Day,Grazer,sand,3,1
Atherina hepsetus,3,4,Day,Grazer,water column,3,3
Atherina presbyter,3,4,Day,Grazer,water column,4,3
Atherinomorus vaigiensis,3,4,Day,Invertivore,water column,3,3
Atractoscion aequidens,3,1,Night,Piscivore,rock,4,6
Atrosalarias holomelas,1,1,Day,Grazer,coral,2,2
Atule mate,3,4,Day,Piscivore,water column,5,3
Atypichthys latus,3,3,Day,Invertivore,coral,3,3
Atypichthys strigatus,3,3,Day,Planktivore,rock,3,3
Aulacocephalus temminckii,1,2,Day,Piscivore,coral,4,4
Aulorhynchus flavidus,3,2,Day,Planktivore,rock,3,3
Aulostomus chinensis,1,2,Day,Piscivore,coral,5,5
Aulostomus maculatus,1,2,Day,Piscivore,coral,5,6
Aulostomus strigosus,1,2,Day,Piscivore,rock,5,5
Austrolabrus maculatus,1,2,Day,Invertivore,rock,3,3
Axoclinus lucillae,1,1,Day,Invertivore,coral,2,1
Balistapus undulatus,1,2,Day,Invertivore,coral,3,3
Balistes capriscus,1,2,Day,Invertivore,sand,4,5
Balistes polylepis,1,2,Day,Invertivore,sand,3,5
Balistes vetula,1,2,Day,Invertivore,sand,3,5
Balistoides conspicillum,1,2,Day,Invertivore,coral,3,4
Balistoides viridescens,1,2,Day,Invertivore,coral,3,5
Bathygobius krefftii,1,1,Day,Invertivore,sand,2,2
Bathystethus cultratus,3,3,Day,Invertivore,coral,3,3
Belone belone,2,4,Day,Piscivore,water column,5,6
Belonoperca chabanaudi,1,3,Night,Invertivore,coral,4,2
Blenniella chrysospilos,1,1,Day,Grazer,coral,1,2
Bodianus albotaeniatus,1,2,Day,Invertivore,coral,3,5
Bodianus anthioides,1,2,Day,Invertivore,coral,3,3
Bodianus axillaris,1,2,Day,Invertivore,coral,3,3
Bodianus bilunulatus,1,2,Day,Invertivore,coral,3,5
Bodianus diana,1,2,Day,Invertivore,coral,3,3
Bodianus dictynna,1,2,Day,Invertivore,coral,3,3
Bodianus diplotaenia,1,2,Day,Invertivore,coral,3,5
Bodianus eclancheri,1,2,Day,Invertivore,coral,2,5
Bodianus frenchii,1,2,Day,Invertivore,rock,3,4
Bodianus loxozonus,1,2,Day,Invertivore,coral,4,4
Bodianus mesothorax,1,2,Day,Invertivore,coral,3,3
Bodianus perditio,1,2,Day,Invertivore,rock,3,5
Bodianus rufus,1,2,Day,Invertivore,coral,3,4
Bodianus scrofa,1,2,Day,Invertivore,rock,3,4
Bodianus unimaculatus,1,2,Day,Invertivore,rock,3,4
Bolbometopon muricatum,3,2,Day,Microphage,coral,2,6
Boops boops,3,3,Day,Invertivore,rock,2,4
Boopsoidea inornata,2,2,Day,Grazer,rock,3,4
Boreogadus saida,2,2,Night,Invertivore,coral,3,4
Bothragonus occidentalis,1,1,Night,Invertivore,rock,3,1
Bothus leopardinus,1,1,Day,Piscivore,coral,4,2
Bothus mancus,1,1,Day,Piscivore,coral,5,4
Bothus pantherinus,1,1,Day,Piscivore,coral,3,4
Bothus podas,1,1,Day,Invertivore,sand,3,4
Bovichtus angustifrons,1,1,Day,Invertivore,rock,4,3
Bovichtus argentinus,1,1,Day,Invertivore,rock,3,4
Brachaluteres jacksonianus,2,2,Day,Grazer,rock,2,2
Brachyistius frenatus,3,3,Day,Invertivore,rock,3,3
Bryaninops amplus,1,1,Day,Invertivore,coral,3,1
Bryaninops erythrops,1,1,Day,Invertivore,coral,2,1
Bryaninops loki,1,1,Day,Planktivore,coral,3,1
Bryaninops natans,1,1,Day,Invertivore,coral,2,1
Bryaninops nexus,1,1,Day,Planktivore,coral,3,1
Bryaninops yongei,1,1,Day,Invertivore,coral,3,1
Caesio caerulaurea,3,3,Day,Planktivore,coral,3,4
Caesio cuning,3,3,Day,Planktivore,coral,3,5
Caesio lunaris,3,3,Day,Planktivore,coral,3,4
Caesio striata,3,3,Day,Planktivore,coral,3,3
Caesio suevica,3,3,Day,Planktivore,coral,3,4
Caesio teres,3,3,Day,Planktivore,coral,3,4
Caesio varilineata,3,3,Day,Planktivore,coral,3,4
Caesio xanthonota,3,3,Day,Planktivore,coral,3,4
Caesioperca lepidoptera,3,3,Day,Planktivore,rock,3,3
Caesioperca rasor,3,3,Day,Planktivore,rock,4,3
Caesioscorpis theagenes,3,2,Day,Planktivore,rock,2,3
Caffrogobius nudiceps,1,1,Day,Invertivore,sand,3,2
Calamus bajonado,2,2,Day,Invertivore,coral,3,5
Calamus brachysomus,2,2,Day,Invertivore,coral,3,5
Calamus calamus,2,2,Day,Invertivore,coral,3,5
Calamus pennatula,2,2,Day,Invertivore,coral,3,4
Calamus taurinus,2,2,Day,Invertivore,coral,3,4
Callanthias australis,2,3,Day,Planktivore,rock,3,4
Calliclinus geniguttatus,1,1,Day,Invertivore,rock,3,2
Callionymus lyra,1,1,Day,Invertivore,sand,3,3
Calloplesiops altivelis,1,2,Night,Invertivore,coral,4,3
Calotomus carolinus,2,2,Day,Microphage,coral,1,5
Calotomus japonicus,2,2,Day,Microphage,rock,1,4
Calotomus spinidens,2,2,Day,Microphage,coral,1,3
Calotomus viridescens,2,2,Day,Microphage,coral,1,3
Cantherhines dumerilii,2,2,Day,Corallivore,coral,3,4
Cantherhines fronticinctus,1,2,Day,Invertivore,coral,3,3
Cantherhines longicaudus,1,2,Day,Invertivore,coral,2,2
Cantherhines macrocerus,2,2,Day,Invertivore,coral,2,4
Cantherhines pardalis,1,2,Day,Invertivore,coral,3,3
Cantherhines pullus,1,2,Day,Omnivore,coral,2,3
Cantherhines sandwichiensis,1,2,Day,Invertivore,coral,2,3
Cantheschenia grandisquamis,1,2,Day,Omnivore,coral,2,3
Canthidermis maculata,1,2,Day,Invertivore,coral,3,4
Canthidermis sufflamen,1,2,Day,Invertivore,coral,3,5
Canthigaster amboinensis,1,2,Day,Omnivore,coral,2,2
Canthigaster axiologus,1,2,Day,Invertivore,coral,2,2
Canthigaster bennetti,1,2,Day,Grazer,coral,1,2
Canthigaster callisterna,1,2,Day,Omnivore,coral,2,3
Canthigaster capistrata,1,2,Day,Omnivore,rock,2,3
Canthigaster compressa,1,2,Day,Invertivore,coral,2,2
Canthigaster coronata,1,2,Day,Invertivore,coral,3,2
Canthigaster epilampra,1,2,Day,Invertivore,coral,2,2
Canthigaster figueiredoi,1,2,Day,Omnivore,coral,3,2
Canthigaster jactator,1,2,Day,Omnivore,coral,2,2
Canthigaster janthinoptera,1,2,Day,Omnivore,coral,3,2
Canthigaster papua,1,2,Day,Omnivore,coral,2,2
Canthigaster punctatissima,1,2,Day,Omnivore,coral,2,2
Canthigaster rivulata,1,2,Day,Omnivore,rock,2,3
Canthigaster rostrata,1,2,Day,Omnivore,coral,2,2
Canthigaster smithae,1,2,Day,Omnivore,coral,2,2
Canthigaster valentini,1,2,Day,Omnivore,coral,2,2
Caprodon longimanus,3,3,Day,Planktivore,rock,4,4
Caracanthus maculatus,1,1,Day,Invertivore,coral,3,1
Caracanthus typicus,1,1,Day,Invertivore,coral,3,1
Caracanthus unipinna,1,1,Day,Invertivore,coral,4,1
Carangoides bajad,3,4,Day,Piscivore,water column,5,5
Carangoides chrysophrys,3,4,Day,Piscivore,water column,5,5
Carangoides ferdau,2,4,Day,Piscivore,water column,5,5
Carangoides fulvoguttatus,2,4,Day,Piscivore,water column,5,6
Carangoides gymnostethus,3,4,Day,Piscivore,water column,5,6
Carangoides orthogrammus,2,4,Day,Piscivore,water column,5,5
Carangoides plagiotaenia,2,4,Day,Piscivore,water column,4,4
Caranx caballus,3,4,Day,Piscivore,water column,5,5
Caranx caninus,3,4,Day,Piscivore,water column,4,6
Caranx crysos,3,4,Day,Piscivore,water column,5,5
Caranx ignobilis,2,4,Day,Piscivore,water column,5,6
Caranx latus,1,1,Day,Piscivore,coral,5,6
Caranx lugubris,2,4,Day,Piscivore,water column,5,6
Caranx melampygus,2,4,Day,Piscivore,water column,5,6
Caranx papuensis,3,4,Day,Piscivore,water column,4,6
Caranx sexfasciatus,3,4,Day,Piscivore,water column,5,6
Caulolatilus princeps,1,2,Night,Piscivore,sand,4,6
Centroberyx affinis,3,3,Night,Piscivore,rock,4,5
Centroberyx gerrardi,3,3,Night,Piscivore,rock,5,5
Centroberyx lineatus,3,3,Night,Piscivore,rock,5,4
Centrogenys vaigiensis,1,1,Day,Piscivore,rock,4,3
Centrolabrus exoletus,1,2,Day,Invertivore,rock,3,3
Centropogon australis,1,1,Day,Invertivore,rock,3,2
Centropyge acanthops,1,2,Day,Grazer,coral,2,2
Centropyge argi,1,2,Day,Grazer,coral,1,2
Centropyge bicolor,1,2,Day,Omnivore,coral,2,2
Centropyge bispinosa,1,2,Day,Omnivore,coral,2,2
Centropyge eibli,1,2,Day,Omnivore,coral,2,2
Centropyge ferrugata,1,2,Day,Omnivore,coral,2,2
