sp_name;aesthe_score
Bodianus_perditio;1485.3657
Bodianus_rufus;1562.0542
Bodianus_scrofa;1580.8108
Bodianus_unimaculatus;1484.382
Bolbometopon_muricatum;1415.751
Boops_boops;1152.6465
Boopsoidea_inornata;1278.2781
Boreogadus_saida;1260.3853
Bothragonus_occidentalis;1277.2062
Bovichtus_angustifrons;1311.2366
Bovichtus_argentinus;1345.0474
Brachaluteres_jacksonianus;1705.931
Brachionichthys_hirsutus;1653.0039
Brachyistius_frenatus;1290.1072
Bryaninops_amplus;1353.7577
Bryaninops_erythrops;1362.8364
Bryaninops_natans;1275.6104
Bryaninops_nexus;1317.0835
Bryaninops_yongei;1384.7817
Caesio_caerulaurea;1396.6771
Caesio_cuning;1441.3821
Caesio_lunaris;1531.5767
Caesio_striata;1353.7898
Caesio_suevica;1410.7595335467
Caesio_teres;1479.8058
Caesio_varilineata;1428.0172
Caesio_xanthonota;1430.9062
Caesioperca_lepidoptera;1345.7125
Caesioperca_rasor;1411.468
Caesioscorpis_theagenes;1183.2573
Caffrogobius_nudiceps;1419.6334
Calamus_bajonado;1313.1978
Calamus_brachysomus;1273.205
Calamus_calamus;1500.7499
Calamus_pennatula;1300.7495
Calamus_taurinus;1253.6436
Callanthias_australis;1542.8347
Calliclinus_geniguttatus;1543.4414
Callionymus_comptus;1274.5253
Callionymus_lyra;1528.8016
Calloplesiops_altivelis;1942.7224
Calotomus_carolinus;1658.7128
Calotomus_japonicus;1346.9606
Calotomus_spinidens;1313.6877
Calotomus_viridescens;1490.5957
Cantherhines_dumerilii;1522.0505
Cantherhines_fronticinctus;1509.303
Cantherhines_longicaudus;1477.6047
Cantherhines_macrocerus;1577.0563
Cantherhines_pardalis;1558.4404
Cantherhines_pullus;1507.7001
Cantherhines_sandwichiensis;1448.0144
Cantheschenia_grandisquamis;1497.8755
Canthidermis_maculata;1472.666
Canthidermis_sufflamen;1440.6746
Canthigaster_amboinensis;1665.4841
Canthigaster_axiologus;1432.1072
Canthigaster_bennetti;1476.9868
Canthigaster_callisterna;1594.9011
Canthigaster_capistrata;1452.1978
Canthigaster_coronata;1455.4963
Canthigaster_cyanetron;1270.2961
Canthigaster_epilampra;1582.669
Canthigaster_figueiredoi;1470.5898
Canthigaster_jactator;1756.3198
Canthigaster_janthinoptera;1695.3431
Canthigaster_marquesensis;1409.9727
Canthigaster_papua;1664.5476
Canthigaster_punctatissima;1775.4474
Canthigaster_rapaensis;1410.6189
Canthigaster_rivulata;1646.0256
Canthigaster_rostrata;1608.8691
Canthigaster_sanctaehelenae;1439.7213
Canthigaster_smithae;1515.3396
Canthigaster_valentini;1596.605
Caprodon_longimanus;1529.5337
