"sp_name","esthe_score","file_name","copyright"
"Ammodytes_tobianus","1270.6172","Ammodytes_tobianus_A_1","NO"
"Amphichaetodon_howensis","1707.7839","Amphichaetodon_howensis_A_1","YES"
"Amphichthys_cryptocentrus","1289.9777","Amphichthys_cryptocentrus_A_1","NO"
"Amphiprion_akallopisos","1613.5715","Amphiprion_akallopisos_A_1","YES"
"Amphiprion_akindynos","1582.4883","Amphiprion_akindynos_A_2","NO"
"Amphiprion_allardi","1701.6387","Amphiprion_allardi_A_1","YES"
"Amphiprion_bicinctus","1709.8564","Amphiprion_bicinctus_A_1","YES"
"Amphiprion_chrysopterus","1777.805","Amphiprion_chrysopterus_A_1","NO"
"Amphiprion_clarkii","1607.4429","Amphiprion_clarkii_A_3","NO"
"Amphiprion_ephippium","1708.5635","Amphiprion_ephippium_A_1","YES"
"Amphiprion_frenatus","1687.4753","Amphiprion_frenatus_A_3","YES"
"Amphiprion_fuscocaudatus","1618.0498","Amphiprion_fuscocaudatus_A_1","YES"
"Amphiprion_latezonatus","1573.0422","Amphiprion_latezonatus_A_1","YES"
"Amphiprion_leucokranos","1566.637","Amphiprion_leucokranos_A_3","YES"
"Amphiprion_mccullochi","1609.5696","Amphiprion_mccullochi_A_1","YES"
"Amphiprion_melanopus","1726.4187","Amphiprion_melanopus_A_3","YES"
"Amphiprion_nigripes","1541.7242","Amphiprion_nigripes_A_2","YES"
"Amphiprion_ocellaris","1703.2319","Amphiprion_ocellaris_A_1","YES"
"Amphiprion_percula","1754.4348","Amphiprion_percula_A_1","YES"
"Amphiprion_perideraion","1575.5327","Amphiprion_perideraion_A_1","YES"
"Amphiprion_rubrocinctus","1657.7715","Amphiprion_rubrocinctus_A_3","YES"
"Amphiprion_sandaracinos","1553.1953","Amphiprion_sandaracinos_A_1","YES"
"Anampses_caeruleopunctatus","1730.1138","Anampses_caeruleopunctatus_F_2","YES"
"Anampses_cuvier","1674.7795","Anampses_cuvier_F_1","YES"
"Anampses_elegans","1612.0044","Anampses_elegans_M_1","YES"
"Anampses_femininus","1688.448","Anampses_femininus_F_1","YES"
"Anampses_geographicus","1399.2029","Anampses_geographicus_M_2","YES"
"Anampses_lennardi","1769.8582","Anampses_lennardi_F_1","YES"
"Anampses_lineatus","1680.4567","Anampses_lineatus_J_1","YES"
"Anampses_melanurus","1682.1074","Anampses_melanurus_F_1","YES"
"Anampses_meleagrides","1854.134","Anampses_meleagrides_F_1","YES"
"Anampses_neoguinaicus","1542.8147","Anampses_neoguinaicus_A_1","YES"
