"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus"
"Alectis ciliaris",1336.7205,"Alectis_ciliaris_J_1","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Alectis"
"Alectis indica",1369.7192,"Alectis_indica_A_2","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Alectis"
"Alloclinus holderi",1427.3304,"Alloclinus_holderi_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Alloclinus"
"Allomycterus pilatus",1472.9896,"Allomycterus_pilatus_A_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Allomycterus"
"Alphestes immaculatus",1510.3021,"Alphestes_immaculatus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Alphestes"
"Altrichthys azurelineatus",1421.8921,"Altrichthys_azurelineatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Altrichthys"
"Altrichthys curatus",1462.4418,"Altrichthys_curatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Altrichthys"
"Aluterus scriptus",1608.1896,"Aluterus_scriptus_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Aluterus"
"Amanses scopas",1466.009,"Amanses_scopas_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Amanses"
"Ambassis jacksoniensis",1327.6875,"Ambassis_jacksoniensis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Ambassidae","Ambassis"
"Amblycirrhitus bimacula",1394.8323,"Amblycirrhitus_bimacula_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus"
"Amblycirrhitus earnshawi",1349.9833,"Amblycirrhitus_earnshawi_A_2","NO","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus"
"Amblycirrhitus pinos",1454.9655,"Amblycirrhitus_pinos_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus"
"Amblyeleotris fasciata",1357.9485,"Amblyeleotris_fasciata_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris guttata",1470.9946,"Amblyeleotris_guttata_A_1","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris gymnocephala",1296.466,"Amblyeleotris_gymnocephala_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris japonica",1360.3741,"Amblyeleotris_japonica_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris periophthalma",1454.2373,"Amblyeleotris_periophthalma_A_3","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris steinitzi",1383.633,"Amblyeleotris_steinitzi_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris sungami",1356.9629,"Amblyeleotris_sungami_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyeleotris wheeleri",1444.8875,"Amblyeleotris_wheeleri_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris"
"Amblyglyphidodon aureus",1658.964,"Amblyglyphidodon_aureus_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon batunai",1443.958,"Amblyglyphidodon_batunai_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon curacao",1379.7534,"Amblyglyphidodon_curacao_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon flavilatus",1461.699,"Amblyglyphidodon_flavilatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon indicus",1521.4922,"Amblyglyphidodon_indicus_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon leucogaster",1371.922,"Amblyglyphidodon_leucogaster_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon melanopterus",1267.2938,"Amblyglyphidodon_melanopterus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon orbicularis",1411.5405,"Amblyglyphidodon_orbicularis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblyglyphidodon ternatensis",1609.588,"Amblyglyphidodon_ternatensis_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon"
"Amblygobius buanensis",1307.338,"Amblygobius_buanensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius"
"Amblygobius bynoensis",1301.5459,"Amblygobius_bynoensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius"
"Amblygobius decussatus",1491.854,"Amblygobius_decussatus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius"
"Amblygobius nocturnus",1213.3569,"Amblygobius_nocturnus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius"
"Amblygobius phalaena",1594.4556,"Amblygobius_phalaena_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius"
"Amblyrhynchotes honckenii",1424.1896,"Amblyrhynchotes_honckenii_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Amblyrhynchotes"
"Ammodytes tobianus",1270.6172,"Ammodytes_tobianus_A_1","NO","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Ammodytes"
"Amphichaetodon howensis",1707.7839,"Amphichaetodon_howensis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Amphichaetodon"
"Amphichthys cryptocentrus",1289.9777,"Amphichthys_cryptocentrus_A_1","NO","Animalia","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Amphichthys"
"Amphiprion akallopisos",1613.5715,"Amphiprion_akallopisos_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion akindynos",1582.4883,"Amphiprion_akindynos_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion allardi",1701.6387,"Amphiprion_allardi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion bicinctus",1709.8564,"Amphiprion_bicinctus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion chrysopterus",1777.805,"Amphiprion_chrysopterus_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion clarkii",1607.4429,"Amphiprion_clarkii_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion ephippium",1708.5635,"Amphiprion_ephippium_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion frenatus",1687.4753,"Amphiprion_frenatus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion fuscocaudatus",1618.0498,"Amphiprion_fuscocaudatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion latezonatus",1573.0422,"Amphiprion_latezonatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion leucokranos",1566.637,"Amphiprion_leucokranos_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion mccullochi",1609.5696,"Amphiprion_mccullochi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion melanopus",1726.4187,"Amphiprion_melanopus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion nigripes",1541.7242,"Amphiprion_nigripes_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion ocellaris",1703.2319,"Amphiprion_ocellaris_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion percula",1754.4348,"Amphiprion_percula_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion perideraion",1575.5327,"Amphiprion_perideraion_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion rubrocinctus",1657.7715,"Amphiprion_rubrocinctus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Amphiprion sandaracinos",1553.1953,"Amphiprion_sandaracinos_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion"
"Anampses caeruleopunctatus",1730.1138,"Anampses_caeruleopunctatus_F_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses cuvier",1674.7795,"Anampses_cuvier_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses elegans",1612.0044,"Anampses_elegans_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses femininus",1688.448,"Anampses_femininus_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses geographicus",1399.2029,"Anampses_geographicus_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses lennardi",1769.8582,"Anampses_lennardi_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses lineatus",1680.4567,"Anampses_lineatus_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses melanurus",1682.1074,"Anampses_melanurus_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses meleagrides",1854.134,"Anampses_meleagrides_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses neoguinaicus",1542.8147,"Anampses_neoguinaicus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anampses twistii",1602.05,"Anampses_twistii_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses"
"Anarrhichthys ocellatus",1486.7755,"Anarrhichthys_ocellatus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarrhichthys"
