"max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","sp_name"
10,3.5,22.121,28.166,"benthic invertivore","pelagic site attached","night","rock","Ostorhinchus schlegeli"
6.5,3.4,27.0745,30.377,"benthic invertivore","pelagic site attached","night","coral","Apogon townsendi"
15,3.7,25.215,29.598,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus urostigmus"
14,3.5,20.062,24.265,"benthic invertivore","pelagic site attached","night","rock","Ostorhinchus victoriae"
9,3.4,26.317,30.562,"benthic invertivore","demersal","night","sand","Apogonichthyoides timorensis"
26,2.6,28.5305,31.647,"benthic invertivore","demersal","day","coral","Apolemichthys trimaculatus"
112,4,26.7926,31.493,"higher carnivore","pelagic site attached","day","coral","Aprion virescens"
25,3.3,16.6879,23.311,"benthic invertivore","demersal","day","rock","Aracana aurita"
15,3.2,16.610325,22.201,"benthic invertivore","demersal","day","rock","Aracana ornata"
10,3.54155388991705,27.4720278046432,30.5296099415732,"planktivore","benthic","night","coral","Archamia bleekeri"
18,2.8,17.0535,23.234,"benthic invertivore","benthic","day","sand","Arenigobius frenatus"
181,4.5,20.7078,28.2176,"higher carnivore","benthic","night","rock","Argyrosomus japonicus"
54.14285714,3.226736111,27.834,31.003,"benthic invertivore","demersal","day","coral","Arothron caeruleopunctatus"
30,3.3,25.6884,30.314,"benthic invertivore","demersal","day","coral","Arothron diadematus"
50,3.1,23.746,31.322,"benthic invertivore","demersal","day","coral","Arothron hispidus"
31,3.5,25.9104,32.167,"benthic invertivore","demersal","day","coral","Arothron manilensis"
65,2.8,28.7403,31.7884,"omnivore","demersal","day","coral","Arothron mappa"
50,3.4,25.994875,30.354,"benthic invertivore","demersal","day","coral","Arothron meleagris"
33,3.3,26.91675,31.635,"omnivore","demersal","day","coral","Arothron nigropunctatus"
120,3.3,25.08425,31.65,"benthic invertivore","demersal","day","coral","Arothron stellatus"
41,4.3,18.2783,23.261,"higher carnivore","pelagic non-site attached","day","water column","Arripis georgianus"
89,4.1,18.3571,24.56,"higher carnivore","pelagic non-site attached","day","water column","Arripis trutta"
96,4.1,18.1335,22.991,"higher carnivore","pelagic non-site attached","day","water column","Arripis truttacea"
85,4.1,21.307,24.166,"higher carnivore","pelagic non-site attached","day","water column","Arripis xylabion"
10,3.4,9.101375,17.49,"benthic invertivore","benthic","day","rock","Artedius harringtoni"
8,3.3,16.39965,21.3731,"benthic invertivore","benthic","day","rock","Aspasmogaster tasmaniensis"
12,2,22.10615,29.44245,"browsing herbivore","benthic","day","coral","Aspidontus dussumieri"
11.5,3.8,23.6409,31.2763,"browsing herbivore","benthic","day","coral","Aspidontus taeniatus"
5.5,3.4,26.81445,29.8643,"benthic invertivore","demersal","day","coral","Assessor flavissimus"
6,3.4,26.41605,30.402,"benthic invertivore","demersal","day","coral","Assessor macneilli"
4,3.5,24.860425,29.5163,"benthic invertivore","demersal","day","coral","Assessor randalli"
8,3.6,25.6325,28.307,"benthic invertivore","benthic","night","coral","Assiculus punctatus"
4.5,2.8719000187711,27.3739610894473,30.2483723830155,"browsing herbivore","benthic","day","sand","Asterropteryx semipunctata"
2.5,2.78573893098068,29.616,30,"browsing herbivore","benthic","day","sand","Asterropteryx striata"
20,3.2,17.912,25.945,"browsing herbivore","pelagic non-site attached","day","water column","Atherina hepsetus"
20,3.7,21.57795,24.1959,"browsing herbivore","pelagic non-site attached","day","water column","Atherina presbyter"
17,3.2,20.3347,24.3102,"benthic invertivore","pelagic non-site attached","day","water column","Atherinomorus vaigiensis"
130,3.9,21.502,24.099,"higher carnivore","benthic","night","rock","Atractoscion aequidens"
10,3,27.5253091138653,30.4682418776602,"browsing herbivore","benthic","day","coral","Atrosalarias holomelas"
30,4.5,23.823125,30.32925,"higher carnivore","pelagic non-site attached","day","water column","Atule mate"
30,3.5,20.913875,24.92,"benthic invertivore","pelagic site attached","day","coral","Atypichthys latus"
25,3.4,19.327,24.568,"planktivore","pelagic site attached","day","rock","Atypichthys strigatus"
40,4,21.173,24.381,"higher carnivore","demersal","day","coral","Aulacocephalus temminckii"
69,4,19.9155,24.56,"higher carnivore","benthic","day","rock","Latropiscis purpurissatus"
18,3.4,13.714125,20.62425,"planktivore","demersal","day","rock","Aulorhynchus flavidus"
17,3.4,18.918,24.56,"benthic invertivore","demersal","day","rock","Austrolabrus maculatus"
3.5,2.8,28.24755,29.7791,"benthic invertivore","benthic","day","coral","Axoclinus cocoensis"
3,2.7,26.509,30.2,"benthic invertivore","benthic","day","coral","Axoclinus lucillae"
3.5,2.6,26.9305,27.64,"benthic invertivore","benthic","day","rock","Axoclinus rubinoffi"
30,3.4,27.72825,31.419,"benthic invertivore","demersal","day","coral","Balistapus undulatus"
60,3.6,19.6847,30.6068,"benthic invertivore","demersal","day","sand","Balistes capriscus"
76,3.3,24.9276,30.2315,"benthic invertivore","demersal","day","sand","Balistes polylepis"
60,3.4,21.1175,30.227,"benthic invertivore","demersal","day","sand","Balistes vetula"
50,3.3,25.277775,31.51455,"benthic invertivore","demersal","day","coral","Balistoides conspicillum"
