"SurveyID" "SiteLongitude" "SiteLatitude" "SiteCode" "PC1_imputation" "PC2_imputation" "PC3_imputation"
"28" 1003643 -81.36713 13.45645 "CAR6" 0.248642302011915 0.300553039863618 0.386188789764726
"29" 1003644 -81.36453 13.45828 "CAR5" 0.136521324188191 0.2255519448163 0.236145732591254
"30" 1003645 -81.36713 13.45645 "CAR6" 0.258763123250771 0.328610981357532 0.0255628797926144
"31" 1003646 -81.41154 13.32793 "CAR8" -0.157666055614812 0.117908174175308 0.240624786124472
"32" 1003647 -81.41154 13.32793 "CAR8" -0.343158210286254 0.143412285558451 0.264841885050857
"33" 1003648 -81.40478 13.36448 "CAR7" 0.106112436179653 0.166202953464437 0.156969319055554
"34" 1003649 -81.41154 13.32793 "CAR8" -0.29087332422432 0.0212931174255572 -0.0410150472781513
"35" 1003650 -81.40478 13.36448 "CAR7" 0.487888139466211 0.288151095090984 0.242995477710515
"36" 1003651 -81.34405 13.37479 "CAR10" -0.243278293756304 -0.294022696101603 0.0193346571456742
"37" 1003652 -81.34405 13.37479 "CAR10" -0.562479815684389 0.180684208237191 -0.177853963487054
"38" 1003653 -81.34405 13.37479 "CAR10" -0.512618066735534 -0.0378888742632743 -0.00592610629483511
"39" 1003654 -81.33894 13.3803 "CAR9" -0.428903580208174 -0.0307313627127169 -0.249466734955566
"40" 1003655 -81.33894 13.3803 "CAR9" -0.458263202374111 -0.17751037334456 -0.123184097286984
"41" 1003656 -81.33894 13.3803 "CAR9" -0.369732451227112 -0.177159792674282 -0.152567097561096
"42" 1003657 -81.33894 13.3803 "CAR9" -0.372751398194752 0.0763427020314187 -0.231838034901233
"43" 1003659 -81.40394 13.37159 "CAR12" 0.033485325473116 0.227380232253578 0.162479557142145
"44" 1003660 -81.40394 13.37159 "CAR12" -0.192415309025815 0.0612694983002877 0.241447663599836
"45" 1003661 -81.42346 13.37903 "CAR11" -0.111342944353188 -0.116388321809843 -0.0451648010234496
"46" 1003662 -81.37399 13.40015 "CAR14" -0.190567199640568 0.106667506492745 0.0472242288344566
"47" 1003663 -81.37399 13.40015 "CAR14" -0.0838139779557007 0.141950473184219 0.106380449228182
"48" 1003664 -81.38481 13.3895 "CAR13" -0.426037049923993 0.034262656517164 0.0999980024125699
"49" 1003665 -81.38481 13.3895 "CAR13" -0.373385922147756 0.03050297901943 0.0842240513998733
"50" 1003666 -81.39579 13.3987 "CAR15" -0.118334433407814 0.198566913533839 0.13433078733761
"51" 1003667 -81.38481 13.3895 "CAR13" -0.400225855878627 0.0088854390031438 0.0642850371278776
"52" 1003668 -81.39579 13.3987 "CAR15" -0.0391380489016107 0.330408548972145 0.266060693253219
"53" 1003669 -81.39579 13.3987 "CAR15" 0.202751242775526 0.166156564986817 0.328749173785564
"54" 1003670 -81.71718 12.58681 "CAR17" 0.272114936211744 -0.0184543338137882 0.218760385006121
"55" 1003671 -81.71718 12.58681 "CAR17" 0.0661305474691534 0.204182466673798 0.221111106551657
"56" 1003672 -81.73215 12.51884 "CAR16" 0.261908124170221 0.166512891127312 0.0926930576005375
"57" 1003673 -81.73215 12.51884 "CAR16" 0.254840944505317 0.207533479004646 0.078815746681597
"58" 1003674 -81.73215 12.51884 "CAR16" 0.210448692911716 0.224166764481997 0.0868184891045492
"59" 1003675 -81.71718 12.58681 "CAR17" 0.19728923529917 0.0297887847768899 0.279378957947656
"60" 1003676 -81.73215 12.51884 "CAR16" 0.182266191471354 0.317269812977562 0.111902806657783
"61" 1003677 -81.71718 12.58681 "CAR17" 0.3026191387546 -0.120663267748736 0.445758772993149
"62" 1003678 -81.68365 12.58415 "CAR18" -0.313199762189514 0.00761154317749988 -0.181122095938274
"63" 1003679 -81.68365 12.58415 "CAR18" -0.200493286821266 -0.165503181676013 -0.218262044442131
"64" 1003680 -81.68365 12.58415 "CAR18" -0.124765108884589 -0.115045312925646 -0.355417082323255
"65" 1003681 -81.6887 12.58619 "CAR19" -0.345270501651948 0.266646040351734 -0.101493468103769
"66" 1003682 -81.68528 12.58338 "CAR20" -0.420664877819061 0.152698222419595 -0.224864570894085
"67" 1003683 -81.68528 12.58338 "CAR20" -0.561694856268472 0.200519761527894 -0.164014126034857
"68" 1003684 -81.6887 12.58619 "CAR19" -0.343418405450221 0.289588552562093 -0.205403503060542
"69" 1003685 -81.6887 12.58619 "CAR19" -0.40629712689487 0.311855783615104 -0.0555746665287559
"70" 1003686 -81.68528 12.58338 "CAR20" -0.336479451866233 0.170564935796317 -0.282370730876731
"71" 1003687 -78.95204 9.55787 "CAR23" 0.433049346752642 0.0273361532460235 0.200668763271555
"72" 1003688 -78.95136 9.55877 "CAR22" 0.091406179561405 0.342743463014975 0.0438518940676275
"73" 1003689 -78.95041 9.55746 "CAR21" 0.232364835653059 0.324771189016758 -0.080366627043661
"74" 1003690 -78.95136 9.55877 "CAR22" -0.0407114538258306 0.317202049071992 0.0702255131192024
"75" 1003691 -78.95041 9.55746 "CAR21" 0.0585023623913141 0.156512937850401 -0.0670402627715935
"76" 1003692 -78.87863 9.58341 "CAR25" 0.0218869083296209 0.129003448046407 -0.158355152440297
