"sp_name";"aesthe_score";"aesthe_effect"
"Caesio lunaris";1531,5767;-0,00161443977048755
"Caesio striata";1353,7898;-0,0171592757047203
"Caesio suevica";1410,7595335467;-0,0119662774409818
"Caesio teres";1479,8058;-0,00594654932424229
"Caesio varilineata";1428,0172;-0,0104345093063913
"Caesio xanthonota";1430,9062;-0,0101798954604557
"Caesioperca lepidoptera";1345,7125;-0,0179131877015946
"Caesioperca rasor";1411,468;-0,0119030269178304
"Caesioscorpis theagenes";1183,2573;-0,0341210321847667
"Caffrogobius nudiceps";1419,6334;-0,0111763186675054
"Calamus bajonado";1313,1978;-0,0209944917944393
"Calamus brachysomus";1273,205;-0,0248908341749302
"Calamus calamus";1500,7499;-0,00417599826515884
"Calamus pennatula";1300,7495;-0,0221944147129386
"Calamus taurinus";1253,6436;-0,0268414252603176
"Callanthias australis";1542,8347;-0,000691787509624658
"Calliclinus geniguttatus";1543,4414;-0,000642256626496538
"Callionymus comptus";1274,5253;-0,0247602603709157
"Callionymus lyra";1528,8016;-0,0018429157191189
"Calloplesiops altivelis";1942,7224;0,0283430289539082
"Calotomus carolinus";1658,7128;0,0084318499011978
"Calotomus japonicus";1346,9606;-0,0177963985162184
"Calotomus spinidens";1313,6877;-0,0209475020429925
"Calotomus viridescens";1490,5957;-0,00503129661958395
"Cantherhines dumerilii";1522,0505;-0,0024004748624701
"Cantherhines fronticinctus";1509,303;-0,00346004044513136
"Cantherhines longicaudus";1477,6047;-0,00613407687874285
"Cantherhines macrocerus";1577,0563;0,002072066850748
"Cantherhines pardalis";1558,4404;0,000576108029771106
"Cantherhines pullus";1507,7001;-0,00359390560468333
"Cantherhines sandwichiensis";1448,0144;-0,00868256868668873
"Cantheschenia grandisquamis";1497,8755;-0,00441752319712249
"Canthidermis maculata";1472,666;-0,00655585886915917
"Canthidermis sufflamen";1440,6746;-0,00932277686790076
"Canthigaster amboinensis";1665,4841;0,00894509257947243
"Canthigaster axiologus";1432,1072;-0,0100741999601532
"Canthigaster bennetti";1476,9868;-0,00618677044643387
"Canthigaster callisterna";1594,9011;0,00348957566234588
"Canthigaster capistrata";1452,1978;-0,00831912530498195
"Canthigaster coronata";1455,4963;-0,00803329728153443
"Canthigaster cyanetron";1270,2961;-0,0251789943091891
"Canthigaster epilampra";1582,669;0,00251963565203149
"Canthigaster figueiredoi";1470,5898;-0,00673359597202358
"Canthigaster jactator";1756,3198;0,0156353117216905
"Canthigaster janthinoptera";1695,3431;0,011183696959218
"Canthigaster marquesensis";1409,9727;-0,0120365616666138
"Canthigaster papua";1664,5476;0,00887423337503955
"Canthigaster punctatissima";1775,4474;0,0169999247243627
"Canthigaster rapaensis";1410,6189;-0,0119788367120579
"Canthigaster rivulata";1646,0256;0,00746453544206384
"Canthigaster rostrata";1608,8691;0,004588107042479
"Canthigaster sanctaehelenae";1439,7213;-0,00940616692504123
"Canthigaster smithae";1515,3396;-0,00295717040971624
"Canthigaster valentini";1596,605;0,0036240951832679
"Caprodon longimanus";1529,5337;-0,00178260115907317
"Caracanthus maculatus";1366,1086;-0,0160180920593852
"Caracanthus typicus";1499,7288;-0,00426174440767889
"Caracanthus unipinna";1313,8518;-0,0209317659767653
"Carangoides bajad";1453,0686;-0,00824360402908376
"Carangoides chrysophrys";1302,7224;-0,0220034781467279
"Carangoides ferdau";1289,818;-0,0232576374872965
"Carangoides fulvoguttatus";1295,729;-0,0226816061297995
"Carangoides gymnostethus";1311,8042;-0,0211282576853658
"Carangoides orthogrammus";1294,9186;-0,0227604245910907
"Carangoides plagiotaenia";1205,95;-0,0317278142687366
"Caranx bartholomaei";1240,7395;-0,0281449080022041
"Caranx caballus";1207,7012;-0,0315450050209834
"Caranx caninus";1233,0328;-0,0289298670196011
"Caranx crysos";1228,4581;-0,0293981428376629
"Caranx ignobilis";1305,3799;-0,0217467428103244
"Caranx lugubris";1249,522;-0,0272562966619405
"Caranx melampygus";1346,31708758395;-0,0178566007564412
"Caranx papuensis";1257,782;-0,0264262328670447
"Caranx sexfasciatus";1302,3861;-0,0220360046891708
"Caulolatilus princeps";1228,7382;-0,0293694211401121
"Centroberyx affinis";1381,155;-0,014638109936996
"Centroberyx gerrardi";1434,2139;-0,00988901113377313
"Centroberyx lineatus";1437,936;-0,00956248494119361
"Centrogenys vaigiensis";1466,3468;-0,00709760789512702
"Centrolabrus exoletus";1387,2201;-0,0140860953261005
"Centrolabrus melanocercus";1386,8005;-0,014124207405766
"Centropogon australis";1351,742;-0,0173499849842012
"Centropyge acanthops";1668,4576;0,00916981525840176
"Centropyge argi";1393,9385;-0,0134774310780039
"Centropyge bicolor";1682,5969;0,0102329439574013
"Centropyge bispinosa";1649,5667;0,00773526877238196
"Centropyge eibli";1623,2002;0,00570532666567759
"Centropyge ferrugata";1469,3885;-0,00683655020869071
"Centropyge fisheri";1750,2827;0,0152015221500787
"Centropyge flavissima";1685,0493;0,0104164294668118
"Centropyge heraldi";1557,8912;0,000531703863911655
"Centropyge hotumatua";1894,3323;0,025165288656715
"Centropyge joculator";1605,2968;0,00430806924076844
"Centropyge loriculus";1705,7456;0,0119543483507163
"Centropyge multispinis";1600,8665;0,00395990463398145
