"sp_name","ages_mean"
"Cheilodipterus arabicus",16.7287141275248
"Cheilodipterus artus",17.7735531670892
"Cheilodipterus intermedius",26.4782863282769
"Cheilodipterus isostigmus",18.907566099511
"Cheilodipterus lachneri",17.663932561804
"Cheilodipterus macrodon",18.0654766051456
"Cheilodipterus nigrotaeniatus",16.9635744773901
"Cheilodipterus parazonatus",19.6401325212089
"Cheilodipterus quinquelineatus",18.5435714331215
"Cheiloprion labiatus",8.20967374814296
"Chelidonichthys capensis",13.4457410215007
"Chelmon marginalis",2.77719380848235
"Chelmon rostratus",3.5437469153419
"Chelmonops curiosus",2.93326408184366
"Chelmonops truncatus",2.81744806235545
"Chelon labrosus",32.3648962924453
"Chelonodon pleurospilus",23.9317101052323
"Chilomycterus antennatus",14.1079605863615
"Chilomycterus reticulatus",8.57433726757033
"Chirodactylus brachydactylus",7.21258535769255
"Chirolophis ascanii",14.1305208434435
"Chironemus maculosus",15.7452483809312
"Chironemus marmoratus",15.8818999382123
"Chironemus microlepis",16.8148900303663
"Chlorurus atrilunula",3.93951815111312
"Chlorurus bleekeri",4.2231447058163
"Chlorurus bowersi",4.47999781853497
"Chlorurus capistratoides",3.91118600755182
"Chlorurus frontalis",7.5588917182279
"Chlorurus gibbus",3.11042523606186
"Chlorurus japanensis",8.12667821631851
"Chlorurus microrhinos",4.16195216725147
"Chlorurus rhakoura",6.10960556224294
"Chlorurus sordidus",4.76282858812955
"Chlorurus spilurus",5.92029396814291
"Chlorurus strongylocephalus",11.0151773026684
"Choerodon anchorago",11.2208245241039
"Choerodon azurio",13.3753661997235
"Choerodon cauteroma",7.36323262492444
"Choerodon cephalotes",13.4693352727717
"Choerodon cyanodus",12.5763949398117
"Choerodon fasciatus",11.6867924578232
"Choerodon graphicus",5.96267623924384
"Choerodon jordani",9.25907081391986
"Choerodon monostigma",12.2915288920932
"Choerodon rubescens",13.7730130357163
"Choerodon schoenleinii",14.0156703951032
"Choerodon vitta",12.6838630565993
"Chriolepis dialepta",18.8144928981428
"Chromis abrupta",6.98311708659368
"Chromis acares",6.39472723208761
"Chromis agilis",7.32595925260585
"Chromis alpha",6.01436084403144
"Chromis alta",6.70192363829421
"Chromis amboinensis",7.20727011671562
"Chromis analis",8.03571343606674
"Chromis atrilobata",10.524927713358
"Chromis atripectoralis",8.93130624180909
"Chromis atripes",7.62727270622916
"Chromis bami",5.36953410464748
"Chromis caudalis",9.18501089944129
"Chromis chromis",5.85286509202028
"Chromis chrysura",5.52928553810654
"Chromis cinerascens",7.00075276472532
"Chromis crusma",7.59219963748404
"Chromis cyanea",9.51682787040282
"Chromis dimidiata",7.3947566844571
"Chromis dispilus",6.58415413690731
"Chromis elerae",5.37988820881756
"Chromis flavaxilla",8.82132518366234
"Chromis flavipectoralis",3.60695994891222
"Chromis flavomaculata",5.9253770831099
"Chromis fumea",5.70681442649384
"Chromis hanui",10.5998143254601
"Chromis hypsilepis",7.61414928912999
"Chromis insolata",7.71911334878032
"Chromis iomelas",9.99646034008757
"Chromis klunzingeri",9.30306338445993
"Chromis lepidolepis",8.67248952285353
"Chromis limbata",6.50725336861775
"Chromis limbaughi",4.88464033608815
"Chromis lineata",7.69831368284054
"Chromis margaritifer",7.53883265126193
"Chromis multilineata",10.3492920168427
"Chromis nigrura",5.56019453186144
"Chromis nitida",5.57796862049272
"Chromis notata",6.92394517729768
"Chromis opercularis",8.36890932446632
"Chromis ovalis",7.5817637206143
"Chromis pamae",7.98859873593862
"Chromis pelloura",9.35477522379077
"Chromis pembae",8.23152112047966
"Chromis punctipinnis",7.06311721015798
"Chromis randalli",4.18122764905634
"Chromis retrofasciata",8.94211140482587
"Chromis scotochiloptera",8.33432035765778
"Chromis scotti",8.26145023800779
"Chromis ternatensis",6.31168858857894
"Chromis vanderbilti",6.91740579568902
"Chromis viridis",8.76169771521785
"Chromis weberi",8.54354498393599
"Chromis westaustralis",9.49418797567214
"Chromis xanthochira",9.04386962464091
"Chromis xanthura",7.26952070439874
"Chromis xutha",7.33566227930478
"Chrysiptera biocellata",7.82023434453888
"Chrysiptera bleekeri",7.6748228799833
"Chrysiptera brownriggii",7.05423262947012
"Chrysiptera cyanea",7.99598168515396
"Chrysiptera flavipinnis",5.44264953898539
"Chrysiptera galba",8.42900126740895
"Chrysiptera glauca",7.24045290273837
"Chrysiptera hemicyanea",7.43378768278512
"Chrysiptera notialis",6.77534165207396
"Chrysiptera oxycephala",9.17139109715762
"Chrysiptera parasema",7.90651860297934
"Chrysiptera rapanui",6.76133000566465
"Chrysiptera rex",8.59927885376138
"Chrysiptera rollandi",8.88321024390331
"Chrysiptera springeri",9.94502925712257
"Chrysiptera starcki",8.14292760871771
