"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus","aesthe_effect"
"Amblyglyphidodon flavilatus",1461.699,"Amblyglyphidodon_flavilatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.00749755888627029
"Amblyglyphidodon indicus",1521.4922,"Amblyglyphidodon_indicus_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.0024466943451426
"Amblyglyphidodon leucogaster",1371.922,"Amblyglyphidodon_leucogaster_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.0154831220844373
"Amblyglyphidodon melanopterus",1267.2938,"Amblyglyphidodon_melanopterus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.0254770996098914
"Amblyglyphidodon orbicularis",1411.5405,"Amblyglyphidodon_orbicularis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.0118965560479413
"Amblyglyphidodon ternatensis",1609.588,"Amblyglyphidodon_ternatensis_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",0.00464438749916091
"Amblygobius buanensis",1307.338,"Amblygobius_buanensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius",-0.0215579092095071
"Amblygobius bynoensis",1301.5459,"Amblygobius_bynoensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius",-0.0221173045683458
"Amblygobius decussatus",1491.854,"Amblygobius_decussatus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius",-0.00492499302721394
"Amblygobius nocturnus",1213.3569,"Amblygobius_nocturnus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius",-0.0309564070106482
"Amblygobius phalaena",1594.4556,"Amblygobius_phalaena_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblygobius",0.00345438062227208
